elapsed,inaVoltage,INA219,maxVoltage,MAX17048,mAh,TotalmAh
1,4.10,99,4.17,92,13.4,98
2,4.09,99,4.17,92,14.4,98
3,4.09,99,4.17,92,15.4,98
4,4.09,99,4.17,93,16.4,98
5,4.09,99,4.16,93,17.5,98
6,4.09,99,4.16,93,18.5,98
7,4.09,99,4.16,93,19.5,98
8,4.08,99,4.16,93,20.5,98
9,4.08,99,4.16,93,21.5,98
10,4.08,99,4.16,94,22.5,98
11,4.08,99,4.16,94,23.5,98
12,4.08,99,4.16,94,24.5,98
13,4.08,99,4.16,94,25.5,97
14,4.08,99,4.15,94,26.5,97
15,4.08,99,4.15,94,27.5,97
16,4.08,99,4.15,94,28.5,97
17,4.07,99,4.15,94,29.5,97
18,4.07,99,4.15,94,30.5,97
19,4.07,99,4.15,94,31.5,97
20,4.07,99,4.15,94,32.5,97
21,4.07,99,4.15,94,33.6,97
22,4.07,99,4.15,94,34.6,97
23,4.07,99,4.15,94,35.6,97
24,4.07,99,4.14,94,36.6,97
25,4.06,99,4.14,94,37.6,96
26,4.06,99,4.14,94,38.6,96
27,4.06,99,4.14,94,39.6,96
28,4.06,99,4.14,94,40.6,96
29,4.06,99,4.14,94,41.6,96
30,4.06,99,4.14,94,42.6,96
31,4.06,99,4.14,94,43.6,96
32,4.06,99,4.13,94,44.6,96
33,4.06,99,4.13,94,45.6,96
34,4.06,99,4.13,94,46.6,96
35,4.05,99,4.13,94,47.6,96
36,4.05,99,4.13,94,48.6,96
37,4.05,99,4.13,94,49.7,96
38,4.05,99,4.13,94,50.7,95
39,4.05,99,4.13,94,51.7,95
40,4.05,99,4.13,94,52.7,95
41,4.05,99,4.13,94,53.7,95
42,4.05,99,4.12,94,54.7,95
43,4.05,99,4.12,94,55.7,95
44,4.04,98,4.12,94,56.7,95
45,4.04,98,4.12,93,57.7,95
46,4.04,98,4.12,93,58.7,95
47,4.04,98,4.12,93,59.7,95
48,4.04,98,4.12,93,60.7,95
49,4.04,98,4.12,93,61.7,95
50,4.04,98,4.12,93,62.7,94
51,4.04,98,4.12,93,63.7,94
52,4.04,98,4.11,93,64.7,94
53,4.04,98,4.11,93,65.7,94
54,4.04,98,4.11,93,66.8,94
55,4.04,98,4.11,93,67.8,94
56,4.03,97,4.11,93,68.8,94
57,4.03,97,4.11,93,68.3,94
58,4.03,97,4.11,92,69.3,94
59,4.03,97,4.11,92,70.3,94
60,4.03,97,4.11,92,71.3,94
61,4.03,97,4.11,92,72.4,94
62,4.03,97,4.11,92,73.4,94
63,4.03,97,4.1,92,74.4,94
64,4.03,97,4.1,92,75.4,94
65,4.03,97,4.1,92,76.4,94
66,4.03,97,4.1,92,77.4,94
67,4.02,97,4.1,92,78.4,94
68,4.02,97,4.1,91,79.4,94
69,4.02,97,4.1,91,80.4,93
70,4.02,96,4.1,91,81.4,93
71,4.02,96,4.1,91,82.4,93
72,4.02,96,4.1,91,83.4,93
73,4.02,96,4.1,91,84.4,93
74,4.02,96,4.1,91,85.4,93
75,4.02,96,4.1,91,86.4,93
76,4.02,96,4.09,91,87.4,93
77,4.02,96,4.09,91,88.4,93
78,4.02,96,4.09,91,89.4,93
79,4.02,96,4.09,91,90.5,93
80,4.01,96,4.09,90,91.5,93
81,4.02,96,4.09,90,92.5,92
82,4.01,96,4.09,90,93.5,92
83,4.01,96,4.09,90,94.5,92
84,4.01,96,4.09,90,95.5,92
85,4.01,96,4.09,90,96.5,92
86,4.01,95,4.09,90,97.5,92
87,4.01,95,4.09,90,98.5,92
88,4.01,95,4.09,90,99.5,92
89,4.01,95,4.09,90,100.5,92
90,4.01,95,4.09,90,101.5,92
91,4,95,4.09,89,102.5,92
92,4,95,4.08,89,103.5,92
93,4.01,95,4.08,89,104.5,92
94,4,95,4.08,89,105.5,91
95,4.01,95,4.08,89,106.5,91
96,4,95,4.08,89,107.5,91
97,4,95,4.08,89,108.5,91
98,4,94,4.08,89,109.6,91
99,4,95,4.08,89,110.6,91
100,4,95,4.08,89,111.6,91
101,4,94,4.08,89,112.6,91
102,4,94,4.08,89,113.6,91
103,4,94,4.08,88,114.6,91
104,4,94,4.08,88,115.6,91
105,4,94,4.08,88,116.6,91
106,4,94,4.07,88,117.6,90
107,4,94,4.07,88,118.6,90
108,4,94,4.07,88,119.6,90
109,4,94,4.07,88,120.6,90
110,4,94,4.07,88,121.6,90
111,3.99,94,4.07,88,122.6,90
112,4,94,4.07,88,123.6,90
113,4,94,4.07,88,124.6,90
114,4,94,4.07,87,125.6,90
115,4,94,4.07,87,126.6,90
116,4,94,4.07,87,127.6,90
117,3.99,93,4.07,87,128.6,90
118,4,94,4.07,87,129.6,89
119,4,94,4.07,87,130.6,89
120,4,94,4.07,87,131.5,89
121,4,94,4.07,87,132.5,89
122,4,94,4.07,87,133.5,89
123,4,94,4.07,87,134.4,89
124,4,94,4.07,87,135.4,89
125,3.99,94,4.07,87,136.4,89
126,4,94,4.07,87,137.3,89
127,3.99,93,4.07,87,138.3,89
128,3.99,93,4.07,87,139.2,89
129,3.99,93,4.07,86,140.2,89
130,3.99,93,4.07,86,141.2,89
131,3.99,93,4.07,86,142.1,88
132,3.99,93,4.07,86,143.1,88
133,3.99,93,4.06,86,144.1,88
134,3.99,93,4.07,86,145,88
135,3.99,93,4.06,86,146,88
136,3.99,93,4.06,86,147,88
137,3.99,93,4.06,86,147.9,88
138,3.99,93,4.06,86,148.9,88
139,3.99,93,4.06,86,149.9,88
140,3.99,93,4.06,86,150.9,88
141,3.99,93,4.06,86,151.8,88
142,3.99,93,4.06,86,152.8,88
143,3.99,93,4.06,86,153.8,88
144,3.99,93,4.06,86,154.7,87
145,3.98,92,4.06,86,155.7,87
146,3.98,92,4.06,86,156.7,87
147,3.98,92,4.06,85,157.7,87
148,3.98,92,4.06,85,158.7,87
149,3.98,92,4.06,85,159.7,87
150,3.98,92,4.06,85,160.7,87
151,3.98,92,4.06,85,161.7,87
152,3.98,92,4.06,85,162.7,87
153,3.98,92,4.06,85,163.7,87
154,3.98,91,4.06,85,164.7,87
155,3.98,91,4.06,85,165.7,87
156,3.98,91,4.06,85,166.7,87
157,3.98,91,4.06,85,167.7,86
158,3.98,91,4.06,85,168.7,86
159,3.98,91,4.05,85,169.7,86
160,3.98,91,4.06,85,170.7,86
161,3.98,91,4.06,85,171.7,86
162,3.98,91,4.05,85,172.7,86
163,3.98,91,4.06,85,173.7,86
164,3.98,91,4.05,85,174.7,86
165,3.98,91,4.05,85,175.7,86
166,3.98,91,4.06,85,176.7,86
167,3.97,91,4.05,85,177.7,86
168,3.98,91,4.05,85,178.7,86
169,3.97,91,4.05,84,179.7,85
170,3.97,91,4.05,84,180.7,85
171,3.98,91,4.05,84,181.7,85
172,3.97,91,4.05,84,182.7,85
173,3.97,91,4.05,84,183.7,85
174,3.97,91,4.05,84,184.7,85
175,3.97,91,4.05,84,185.7,85
176,3.97,91,4.05,84,186.7,85
177,3.97,91,4.05,84,187.7,85
178,3.97,91,4.05,84,188.7,85
179,3.97,91,4.05,84,189.7,85
180,3.97,91,4.05,84,190.7,85
181,3.97,90,4.05,84,191.7,85
182,3.97,91,4.05,84,192.7,84
183,3.97,91,4.05,84,193.7,84
184,3.97,91,4.05,84,194.7,84
185,3.97,90,4.05,84,195.7,84
186,3.97,90,4.05,84,196.7,84
187,3.97,91,4.05,84,197.7,84
188,3.97,90,4.05,84,198.7,84
189,3.97,90,4.05,84,199.7,84
190,3.97,90,4.05,84,200.7,84
191,3.97,90,4.05,84,201.7,84
192,3.97,90,4.05,84,202.7,84
193,3.97,90,4.05,84,203.7,84
194,3.97,90,4.05,84,204.7,83
195,3.97,90,4.05,84,205.7,83
196,3.97,90,4.05,84,206.7,83
197,3.96,89,4.05,83,207.7,83
198,3.97,90,4.05,83,208.7,83
199,3.97,90,4.05,83,209.7,83
200,3.96,89,4.04,83,210.7,83
201,3.96,89,4.04,83,211.7,83
202,3.96,89,4.04,83,212.7,83
203,3.96,89,4.04,83,213.7,83
204,3.96,89,4.05,83,214.7,83
205,3.96,89,4.04,83,215.7,83
206,3.96,89,4.04,83,216.7,82
207,3.96,89,4.04,83,217.7,82
208,3.96,89,4.04,83,218.7,82
209,3.96,89,4.04,83,219.7,82
210,3.96,89,4.04,83,220.7,82
211,3.96,89,4.04,83,221.7,82
212,3.96,89,4.04,83,222.7,82
213,3.96,88,4.04,83,223.7,82
214,3.96,89,4.04,83,224.7,82
215,3.96,89,4.04,83,225.7,82
216,3.96,88,4.04,83,226.7,82
217,3.96,89,4.04,83,227.7,82
218,3.96,89,4.04,83,228.7,82
219,3.96,88,4.04,83,229.7,81
220,3.96,89,4.04,83,230.7,81
221,3.96,87,4.04,83,231.7,81
222,3.96,87,4.04,82,232.7,81
223,3.96,87,4.03,82,233.7,81
224,3.96,87,4.04,82,234.7,81
225,3.96,87,4.03,82,235.7,81
226,3.96,87,4.03,82,236.7,81
227,3.96,87,4.03,82,237.7,81
228,3.95,86,4.03,82,238.7,81
229,3.95,86,4.03,82,239.7,81
230,3.95,86,4.03,82,240.7,81
231,3.95,86,4.03,82,241.7,80
232,3.95,86,4.03,82,242.7,80
233,3.95,86,4.03,82,243.7,80
234,3.95,86,4.03,82,244.7,80
235,3.95,86,4.03,82,245.7,80
236,3.95,85,4.03,82,246.7,80
237,3.95,86,4.03,82,247.7,80
238,3.95,85,4.03,82,248.7,80
239,3.95,85,4.03,82,249.7,80
240,3.95,85,4.03,82,250.7,80
241,3.95,85,4.03,81,251.7,80
242,3.95,85,4.03,81,252.7,80
243,3.95,85,4.03,81,253.7,80
244,3.95,85,4.03,81,254.7,79
245,3.94,84,4.03,81,255.7,79
246,3.94,84,4.03,81,256.7,79
247,3.94,84,4.03,81,257.7,79
248,3.94,84,4.02,81,258.7,79
249,3.94,84,4.02,81,259.7,79
250,3.94,84,4.02,81,260.7,79
251,3.94,84,4.02,81,261.7,79
252,3.94,83,4.02,81,262.7,79
253,3.94,84,4.02,81,263.7,79
254,3.94,83,4.02,81,264.7,79
255,3.94,83,4.02,81,265.7,79
256,3.94,83,4.02,81,266.7,78
257,3.94,83,4.02,81,267.7,78
258,3.94,83,4.02,81,268.7,78
259,3.94,83,4.02,80,269.7,78
260,3.94,83,4.02,80,270.7,78
261,3.94,83,4.02,80,271.7,78
262,3.94,82,4.02,80,272.7,78
263,3.94,82,4.02,80,273.7,78
264,3.94,82,4.02,80,274.7,78
265,3.94,83,4.02,80,275.7,78
266,3.94,82,4.02,80,276.7,78
267,3.94,82,4.02,80,277.7,78
268,3.94,82,4.01,80,278.7,78
269,3.94,82,4.02,80,279.7,77
270,3.94,82,4.01,80,280.7,77
271,3.94,82,4.02,80,281.7,77
272,3.94,82,4.01,80,282.7,77
273,3.94,82,4.01,80,283.7,77
274,3.94,82,4.01,80,284.7,77
275,3.94,82,4.01,80,285.7,77
276,3.93,82,4.01,80,286.7,77
277,3.94,82,4.01,79,287.7,77
278,3.93,82,4.01,79,288.7,77
279,3.93,81,4.01,79,289.7,77
280,3.93,81,4.01,79,290.7,77
281,3.93,81,4.01,79,291.7,76
282,3.93,82,4.01,79,292.7,76
283,3.93,82,4.01,79,293.6,76
284,3.93,81,4.01,79,294.6,76
285,3.93,81,4.01,79,295.6,76
286,3.93,81,4.01,79,296.6,76
287,3.93,81,4.01,79,297.6,76
288,3.93,81,4.01,79,298.6,76
289,3.93,82,4.01,79,299.6,76
290,3.93,81,4.01,79,300.6,76
291,3.93,81,4.01,79,301.6,76
