mahConsumed,Voltage
0.000,4.064
1.014,4.064
2.028,4.064
3.042,4.064
4.056,4.060
5.070,4.060
6.084,4.060
7.098,4.056
8.111,4.044
9.124,4.048
10.137,4.048
11.150,4.048
12.163,4.048
13.176,4.044
14.190,4.044
15.203,4.040
16.216,4.040
17.229,4.040
18.243,4.040
19.257,4.040
20.270,4.040
21.283,4.040
22.296,4.036
23.309,4.036
24.322,4.032
25.336,4.032
26.348,4.032
27.361,4.032
28.375,4.032
29.387,4.028
30.400,4.028
31.414,4.024
32.426,4.024
33.439,4.028
34.450,4.024
35.463,4.024
36.476,4.024
37.490,4.020
38.503,4.020
39.516,4.020
40.527,4.016
41.539,4.020
42.552,4.016
43.566,4.016
44.579,4.016
45.592,4.016
46.605,4.012
47.618,4.012
48.631,4.012
49.644,4.012
50.657,4.008
51.669,4.008
52.682,4.008
53.695,4.008
54.708,4.008
55.721,4.004
56.734,4.008
57.746,4.004
58.759,4.004
59.772,4.000
60.785,4.000
61.798,4.000
62.810,4.000
63.823,4.000
64.836,4.000
65.849,4.000
66.862,3.996
67.875,3.996
68.887,3.996
69.900,3.992
70.912,3.992
71.924,3.992
72.937,3.992
73.949,3.992
74.961,3.992
75.973,3.992
76.985,3.988
77.998,3.988
79.010,3.988
80.022,3.988
81.034,3.988
82.045,3.984
83.057,3.988
84.068,3.984
85.080,3.984
86.092,3.984
87.104,3.984
88.116,3.984
89.128,3.980
90.140,3.980
91.152,3.980
92.163,3.980
93.175,3.980
94.187,3.976
95.197,3.980
96.208,3.976
97.220,3.976
98.231,3.976
99.243,3.976
100.255,3.976
101.266,3.976
102.278,3.972
103.290,3.972
104.301,3.972
105.313,3.972
106.325,3.972
107.336,3.972
108.347,3.972
109.359,3.972
110.370,3.972
111.382,3.972
112.394,3.968
113.405,3.968
114.417,3.968
115.428,3.968
116.440,3.968
117.451,3.968
118.462,3.968
119.474,3.968
120.485,3.964
121.498,3.968
122.508,3.968
123.520,3.964
124.527,3.964
125.538,3.964
126.550,3.964
127.562,3.964
128.574,3.964
129.585,3.964
130.596,3.964
131.608,3.960
132.618,3.960
133.630,3.960
134.641,3.960
135.653,3.960
136.662,3.960
137.672,3.960
138.684,3.960
139.695,3.956
140.707,3.956
141.718,3.960
142.729,3.956
143.740,3.956
144.751,3.956
145.762,3.956
146.774,3.956
147.785,3.956
148.796,3.956
149.808,3.956
150.819,3.956
151.831,3.956
152.842,3.956
153.854,3.956
154.865,3.956
155.877,3.956
156.888,3.956
157.900,3.956
158.912,3.952
159.923,3.952
160.935,3.952
161.947,3.952
162.958,3.952
163.970,3.956
164.982,3.952
165.993,3.952
167.005,3.952
168.017,3.952
169.029,3.952
170.041,3.948
171.052,3.948
172.063,3.948
173.075,3.952
174.086,3.948
175.097,3.948
176.108,3.948
177.119,3.948
178.130,3.948
179.141,3.948
180.152,3.948
181.163,3.948
182.174,3.948
183.184,3.948
184.195,3.948
